EventId,TeamId,MatchId,PlayerId,GameTime,X,Y,X_rec,Y_rec,Evaluation,IsCross,IsCorner,InGameSection,NumDefInBox,NumAttInBox,ScoreHome,ScoreGuest,MatchStateForTeam,AnyRedBeforeCross,RedForOwnTeam,RedForOppTeam,ShotEventId,ShotPlayerId,ShotGameTime,ShotTimeSec,ShotX,ShotY,ShotxG,ShotResult,ShotInGameSection,ShotNumDefInBox,ShotNumAttInBox
18703000000922,DFL-CLU-00000V,DFL-MAT-J040BA,DFL-OBJ-0002FX,048:43:28,-35.81,34.21,-41.54,10.25,successfullyCompleted,True,False,secondHalf,7.0,5.0,0,1,losing,False,False,False,18703000000925,DFL-OBJ-0026ZV,048:49:63,2929.63,-37.22,-1.06,0.0407,shotWide,secondHalf,9.0,7.0
18703000001082,DFL-CLU-00000V,DFL-MAT-J040BA,DFL-OBJ-002659,064:20:44,-41.99,32.39,-42.67,-3.03,unsuccessful,True,False,secondHalf,2.0,2.0,0,2,losing,False,False,False,18703000001084,DFL-OBJ-J01DKU,064:25:92,3865.92,-37.9,-7.96,0.0335,shotWide,secondHalf,9.0,3.0
18703000001157,DFL-CLU-000018,DFL-MAT-J040BA,DFL-OBJ-J01KEL,069:59:72,35.53,21.51,46.43,-6.56,unsuccessful,True,False,secondHalf,6.0,4.0,0,2,winning,False,False,False,18703000001159,DFL-OBJ-J01AUU,070:03:19,4203.19,34.01,-4.27,0.062,shotWide,secondHalf,8.0,4.0
18703000001426,DFL-CLU-00000V,DFL-MAT-J040BA,DFL-OBJ-J01DKU,086:37:31,-44.94,-22.21,-49.81,-2.05,unsuccessful,True,False,secondHalf,6.0,2.0,0,3,losing,False,False,False,18703000001428,DFL-OBJ-J02125,086:40:80,5200.8,-38.48,5.15,0.1122,shotWide,secondHalf,10.0,3.0
18703100000734,DFL-CLU-000006,DFL-MAT-J040BB,DFL-OBJ-J01C5K,041:40:23,-46.54,34.23,-46.08,8.33,successfullyCompleted,True,False,firstHalf,7.0,5.0,0,0,drawing,False,False,False,18703100000738,DFL-OBJ-00001R,041:43:03,2503.03,-43.93,12.69,,blockedShot,firstHalf,9.0,5.0
18703100001460,DFL-CLU-00000S,DFL-MAT-J040BB,DFL-OBJ-000199,083:32:19,-28.01,27.13,-37.51,7.3,successfullyCompleted,True,False,secondHalf,2.0,0.0,0,3,losing,False,False,False,18703100001462,DFL-OBJ-0025J8,083:34:55,5014.55,-33.56,5.15,0.0824,successfulShot,secondHalf,6.0,2.0
18703100001503,DFL-CLU-000006,DFL-MAT-J040BB,DFL-OBJ-J021B9,089:42:00,46.96,33.8,42.4,17.49,successfullyCompleted,True,False,secondHalf,6.0,4.0,1,3,winning,False,False,False,18703100001507,DFL-OBJ-J021EE,089:45:80,5385.8,34.83,7.06,0.0766,blockedShot,secondHalf,8.0,5.0
18703200000121,DFL-CLU-000N5P,DFL-MAT-J040BC,DFL-OBJ-J01XID,008:22:72,26.52,-33.08,41.97,0.99,unsuccessful,True,False,firstHalf,6.0,4.0,0,0,drawing,False,False,False,18703200000124,DFL-OBJ-0000CF,008:27:07,507.07,26.35,6.71,0.0212,shotWide,firstHalf,8.0,5.0
18703200000352,DFL-CLU-000N5P,DFL-MAT-J040BC,DFL-OBJ-J01QVA,020:48:55,48.9,34.28,46.13,6.19,successfullyCompleted,True,False,firstHalf,10.0,6.0,0,0,drawing,False,False,False,18703200000356,DFL-OBJ-J01ZW3,020:51:27,1251.27,45.32,0.65,0.2032,savedShot,firstHalf,10.0,6.0
18703200000741,DFL-CLU-00000A,DFL-MAT-J040BC,DFL-OBJ-0001E6,043:12:84,-44.29,30.16,-46.16,5.27,unsuccessful,True,False,firstHalf,9.0,6.0,1,0,losing,False,False,False,18703200000744,DFL-OBJ-002G4G,043:15:55,2595.55,-37.33,-6.58,0.0665,blockedShot,firstHalf,,
18703200000748,DFL-CLU-00000A,DFL-MAT-J040BC,DFL-OBJ-0027WP,046:18:44,-43.62,-34.85,-47.49,-5.15,unsuccessful,True,False,firstHalf,9.0,5.0,1,0,losing,False,False,False,18703200000753,DFL-OBJ-J01WX3,046:23:59,2783.59,-48.28,3.1,0.4749,successfulShot,firstHalf,10.0,5.0
18703200000768,DFL-CLU-00000A,DFL-MAT-J040BC,DFL-OBJ-J01IB2,049:59:51,-43.56,-26.85,-46.22,1.59,successfullyCompleted,True,False,firstHalf,6.0,3.0,1,1,drawing,False,False,False,18703200000771,DFL-OBJ-J01FO8,050:01:07,3001.07,-46.33,1.57,0.1172,shotWide,firstHalf,8.0,4.0
18703200000962,DFL-CLU-000N5P,DFL-MAT-J040BC,DFL-OBJ-J01QVA,059:16:63,-40.58,-34.29,-46.6,-6.59,successfullyCompleted,True,False,secondHalf,8.0,6.0,1,2,losing,False,False,False,18703200001026,DFL-OBJ-J01K9F,059:20:59,3560.59,-45.28,-4.03,0.2993,blockedShot,secondHalf,11.0,6.0
18703200001015,DFL-CLU-000N5P,DFL-MAT-J040BC,DFL-OBJ-J01QVA,062:13:48,-33.7,-34.51,-43.13,-5.76,unsuccessful,True,False,secondHalf,8.0,6.0,1,2,losing,False,False,False,18703200001021,DFL-OBJ-J0219V,062:18:72,3738.72,-27.27,-0.23,0.0126,shotWide,secondHalf,8.0,5.0
18703200001244,DFL-CLU-000N5P,DFL-MAT-J040BC,DFL-OBJ-J01QVA,077:30:52,-38.47,-34.97,-43.94,-5.62,successfullyCompleted,True,False,secondHalf,9.0,7.0,1,2,losing,False,False,False,18703200001249,DFL-OBJ-0000CF,077:36:96,4656.96,-33.74,-0.97,0.0471,blockedShot,secondHalf,9.0,4.0
